,Department,Job,Employee Identifier,Total Salary,Retirement,Health and Dental,Other Benefits,Total Benefits,Total Compensation,Year
1025,Department of Technology,IS Engineer-Principal,37461201,158420.02,29624.08,14433.94,11031.82,55089.84,213509.86,2018
1030,Department of Technology,IT Operations Support Admn III,37481541,98193.37,18837.37,14328.53,8054.43,41220.33,139413.7,2018
4854,Department of Technology,IS Engineer-Principal,40783770,174752.1,34046.82,14950.3,11556.21,60553.33,235305.43,2019
4856,Department of Technology,Storekeeper,41866092,71204.4,14216.5,15031.18,5601.35,34849.03,106053.43,2019
4857,Department of Technology,Communication Line Sprv1,41396145,162122.67,24730.42,17445.73,11271.71,53447.86,215570.53,2019
4860,Department of Technology,IS Engineer-Journey,40726192,82857.2,13534.5,8050.16,6735.87,28320.53,111177.73,2019
4862,Department of Technology,Fire Alarm Dispatcher,41166431,100119.3,18805.55,14649.04,7942.44,41397.03,141516.33,2019
4863,Department of Technology,Accountant III,41466096,122860.08,24148.1,14950.3,9934.04,49032.44,171892.52,2019
4866,Department of Technology,IT Operations Support Admin II,41166375,101678.32,18209.62,14950.3,8159.27,41319.19,142997.51,2019
4867,Department of Technology,IS Business Analyst-Senior,41166404,127852.0,24903.14,14950.3,10210.76,50064.2,177916.2,2019
4871,Department of Technology,Fire Alarm Dispatcher,41166266,21014.94,0.0,0.0,1631.1,1631.1,22646.04,2019
4873,Department of Technology,IS Business Analyst,42256137,110426.0,22044.84,14950.3,8568.89,45564.03,155990.03,2019
4875,Department of Technology,Senior Clerk,41166094,49515.03,3538.48,11591.35,3825.77,18955.6,68470.63,2019
4876,Department of Technology,Fire Alarm Dispatcher,41226532,22463.6,0.0,0.0,1743.54,1743.54,24207.14,2019
5783,Department of Technology,Cable Splicer,42419305,137550.33,25411.07,18007.33,10936.17,54354.57,191904.9,2020
5786,Department of Technology,Electrical Line Helper,42826105,94401.41,18791.0,0.0,7625.33,26416.33,120817.74,2020
